iter	Passed	Remaining
0	168	168094
1	174	86918
2	178	59346
3	181	45238
4	188	37503
5	192	31828
6	195	27751
7	200	24804
8	204	22465
9	208	20625
10	212	19062
11	215	17768
12	219	16655
13	222	15666
14	226	14848
15	229	14113
16	233	13485
17	236	12904
18	240	12405
19	244	11956
20	247	11522
21	250	11122
22	254	10793
23	257	10481
24	261	10180
25	264	9895
26	267	9646
27	270	9404
28	274	9176
29	277	8969
30	280	8766
31	282	8548
32	284	8345
33	286	8150
34	288	7952
35	290	7769
36	291	7591
37	293	7434
38	295	7270
39	296	7111
40	297	6959
41	298	6814
42	299	6676
43	301	6544
44	302	6416
45	303	6291
46	304	6173
47	305	6061
48	307	5960
49	308	5854
50	309	5754
51	310	5655
52	311	5560
53	312	5469
54	313	5381
55	314	5297
56	315	5215
57	316	5135
58	317	5059
59	318	4985
60	319	4915
61	320	4848
62	321	4782
63	322	4719
64	323	4657
65	324	4597
66	326	4540
67	327	4483
68	328	4429
69	329	4375
70	330	4322
71	331	4270
72	332	4220
73	333	4171
74	334	4127
75	336	4085
76	337	4039
77	338	3995
78	338	3951
79	340	3910
80	341	3869
81	342	3829
82	342	3785
83	343	3747
84	344	3709
85	346	3686
86	348	3654
87	349	3622
88	350	3588
89	351	3555
90	352	3523
91	353	3490
92	354	3458
93	355	3427
94	356	3397
95	357	3368
96	358	3340
97	360	3314
98	363	3306
99	364	3280
100	365	3254
101	366	3229
102	368	3206
103	369	3184
104	370	3161
105	372	3139
106	373	3117
107	374	3095
108	376	3074
109	377	3054
110	378	3032
111	379	3010
112	380	2990
113	382	2969
114	383	2949
115	384	2928
116	385	2906
117	386	2886
118	387	2866
119	388	2846
120	389	2828
121	390	2809
122	391	2792
123	392	2774
124	393	2756
125	394	2739
126	395	2720
127	396	2703
128	397	2686
129	399	2671
130	400	2655
131	401	2640
132	402	2624
133	405	2619
134	406	2604
135	407	2588
136	408	2573
137	409	2559
138	410	2545
139	412	2535
140	413	2521
141	414	2505
142	415	2492
143	417	2479
144	418	2468
145	419	2455
146	420	2442
147	421	2429
148	423	2416
149	424	2404
150	425	2391
151	426	2379
152	427	2367
153	428	2356
154	430	2345
155	431	2335
156	432	2323
157	433	2312
158	435	2300
159	436	2289
160	436	2276
161	438	2265
162	439	2254
163	440	2244
164	441	2234
165	442	2224
166	443	2214
167	445	2208
168	447	2198
169	448	2189
170	449	2181
171	451	2172
172	452	2162
173	453	2153
174	454	2144
175	455	2134
176	457	2125
177	460	2126
178	461	2117
179	462	2108
180	464	2099
181	465	2091
182	466	2082
183	467	2073
184	468	2064
185	469	2056
186	471	2048
187	472	2042
188	475	2038
189	476	2030
190	477	2021
191	478	2013
192	479	2004
193	480	1996
194	481	1988
195	482	1980
196	484	1972
197	485	1966
198	486	1959
199	488	1954
200	489	1946
201	490	1939
202	491	1931
203	492	1923
204	493	1915
205	495	1907
206	496	1900
207	497	1893
208	498	1885
209	499	1879
210	501	1874
211	502	1867
212	503	1860
213	504	1853
214	505	1846
215	506	1840
216	508	1834
217	509	1826
218	510	1819
219	511	1812
220	512	1805
221	513	1799
222	516	1798
223	517	1791
224	518	1785
225	519	1778
226	520	1772
227	521	1765
228	522	1759
229	523	1752
230	524	1746
231	525	1739
232	526	1734
233	529	1732
234	530	1727
235	531	1721
236	533	1716
237	534	1710
238	535	1705
239	536	1700
240	537	1694
241	539	1688
242	540	1682
243	541	1677
244	542	1673
245	544	1667
246	545	1662
247	546	1656
248	547	1651
249	548	1645
250	549	1639
251	550	1634
252	551	1629
253	552	1623
254	553	1617
255	554	1612
256	556	1607
257	557	1603
258	558	1598
259	559	1593
260	560	1588
261	561	1582
262	562	1577
263	564	1572
264	565	1567
265	566	1562
266	567	1557
267	568	1551
268	569	1547
269	570	1543
270	571	1538
271	572	1533
272	573	1528
273	574	1523
274	575	1518
275	576	1513
276	578	1508
277	579	1503
278	580	1501
279	582	1496
280	583	1492
281	584	1488
282	585	1484
283	586	1479
284	587	1474
285	589	1470
286	590	1466
287	591	1461
288	592	1457
289	593	1452
290	594	1448
291	595	1443
292	596	1438
293	597	1434
294	599	1431
295	600	1427
296	601	1423
297	602	1418
298	603	1414
299	604	1409
300	605	1405
301	606	1401
302	607	1397
303	608	1393
304	609	1389
305	610	1385
306	612	1381
307	613	1377
308	614	1373
309	615	1369
310	616	1365
311	617	1361
312	618	1357
313	619	1354
314	620	1350
